product Name,product Price(US $),formatedPrice(US $),overview-rating,reviews,orders,Stock,Color,Size,Inventory,imgUrl,storeName,storeUrl,storeNumber,followers,rating
Vangull Casual Spring Slim Sweater Winter Knitted Sweater New Lace Up Flare Long Sleeve Ruffle Knitting Pullover Women Sweaters,9.92,19.45,4.7,294,829,20722,White-29,M-361386,878,https://ae01.alicdn.com/kf/HTB18G7MX75E3KVjSZFCq6zuzXXaK/Vangull-Casual-Spring-Slim-Sweater-Winter-Knitted-Sweater-New-Lace-Up-Flare-Long-Sleeve-Ruffle-Knitting.jpg,vangull Official Store,https://www.aliexpress.com/store/715474,715474,0,96.7%
Vangull Casual Spring Slim Sweater Winter Knitted Sweater New Lace Up Flare Long Sleeve Ruffle Knitting Pullover Women Sweaters,9.92,19.45,4.7,294,829,20722,White-29,XL-100014065,868,https://ae01.alicdn.com/kf/HTB18G7MX75E3KVjSZFCq6zuzXXaK/Vangull-Casual-Spring-Slim-Sweater-Winter-Knitted-Sweater-New-Lace-Up-Flare-Long-Sleeve-Ruffle-Knitting.jpg,vangull Official Store,https://www.aliexpress.com/store/715474,715474,0,96.7%
Vangull Casual Spring Slim Sweater Winter Knitted Sweater New Lace Up Flare Long Sleeve Ruffle Knitting Pullover Women Sweaters,9.92,19.45,4.7,294,829,20722,Pink-1052,S-100014064,855,https://ae01.alicdn.com/kf/HTB1xFgLX2WG3KVjSZPcq6zkbXXae/Vangull-Casual-Spring-Slim-Sweater-Winter-Knitted-Sweater-New-Lace-Up-Flare-Long-Sleeve-Ruffle-Knitting.jpg,vangull Official Store,https://www.aliexpress.com/store/715474,715474,0,96.7%
Vangull Casual Spring Slim Sweater Winter Knitted Sweater New Lace Up Flare Long Sleeve Ruffle Knitting Pullover Women Sweaters,9.92,19.45,4.7,294,829,20722,Pink-1052,L-361385,865,https://ae01.alicdn.com/kf/HTB1xFgLX2WG3KVjSZPcq6zkbXXae/Vangull-Casual-Spring-Slim-Sweater-Winter-Knitted-Sweater-New-Lace-Up-Flare-Long-Sleeve-Ruffle-Knitting.jpg,vangull Official Store,https://www.aliexpress.com/store/715474,715474,0,96.7%
Vangull Casual Spring Slim Sweater Winter Knitted Sweater New Lace Up Flare Long Sleeve Ruffle Knitting Pullover Women Sweaters,9.92,19.45,4.7,294,829,20722,Pink-1052,M-361386,854,https://ae01.alicdn.com/kf/HTB1xFgLX2WG3KVjSZPcq6zkbXXae/Vangull-Casual-Spring-Slim-Sweater-Winter-Knitted-Sweater-New-Lace-Up-Flare-Long-Sleeve-Ruffle-Knitting.jpg,vangull Official Store,https://www.aliexpress.com/store/715474,715474,0,96.7%
Vangull Casual Spring Slim Sweater Winter Knitted Sweater New Lace Up Flare Long Sleeve Ruffle Knitting Pullover Women Sweaters,9.92,19.45,4.7,294,829,20722,Pink-1052,XL-100014065,858,https://ae01.alicdn.com/kf/HTB1xFgLX2WG3KVjSZPcq6zkbXXae/Vangull-Casual-Spring-Slim-Sweater-Winter-Knitted-Sweater-New-Lace-Up-Flare-Long-Sleeve-Ruffle-Knitting.jpg,vangull Official Store,https://www.aliexpress.com/store/715474,715474,0,96.7%
Vangull Casual Spring Slim Sweater Winter Knitted Sweater New Lace Up Flare Long Sleeve Ruffle Knitting Pullover Women Sweaters,9.92,19.45,4.7,294,829,20722,Blue-173,S-100014064,869,https://ae01.alicdn.com/kf/HTB1ObMRX8Cw3KVjSZFlq6AJkFXam/Vangull-Casual-Spring-Slim-Sweater-Winter-Knitted-Sweater-New-Lace-Up-Flare-Long-Sleeve-Ruffle-Knitting.jpg,vangull Official Store,https://www.aliexpress.com/store/715474,715474,0,96.7%
Vangull Casual Spring Slim Sweater Winter Knitted Sweater New Lace Up Flare Long Sleeve Ruffle Knitting Pullover Women Sweaters,9.92,19.45,4.7,294,829,20722,Blue-173,L-361385,870,https://ae01.alicdn.com/kf/HTB1ObMRX8Cw3KVjSZFlq6AJkFXam/Vangull-Casual-Spring-Slim-Sweater-Winter-Knitted-Sweater-New-Lace-Up-Flare-Long-Sleeve-Ruffle-Knitting.jpg,vangull Official Store,https://www.aliexpress.com/store/715474,715474,0,96.7%
Vangull Casual Spring Slim Sweater Winter Knitted Sweater New Lace Up Flare Long Sleeve Ruffle Knitting Pullover Women Sweaters,9.92,19.45,4.7,294,829,20722,Blue-173,M-361386,861,https://ae01.alicdn.com/kf/HTB1ObMRX8Cw3KVjSZFlq6AJkFXam/Vangull-Casual-Spring-Slim-Sweater-Winter-Knitted-Sweater-New-Lace-Up-Flare-Long-Sleeve-Ruffle-Knitting.jpg,vangull Official Store,https://www.aliexpress.com/store/715474,715474,0,96.7%
Vangull Casual Spring Slim Sweater Winter Knitted Sweater New Lace Up Flare Long Sleeve Ruffle Knitting Pullover Women Sweaters,9.92,19.45,4.7,294,829,20722,Blue-173,XL-100014065,839,https://ae01.alicdn.com/kf/HTB1ObMRX8Cw3KVjSZFlq6AJkFXam/Vangull-Casual-Spring-Slim-Sweater-Winter-Knitted-Sweater-New-Lace-Up-Flare-Long-Sleeve-Ruffle-Knitting.jpg,vangull Official Store,https://www.aliexpress.com/store/715474,715474,0,96.7%
Vangull Casual Spring Slim Sweater Winter Knitted Sweater New Lace Up Flare Long Sleeve Ruffle Knitting Pullover Women Sweaters,9.92,19.45,4.7,294,829,20722,Yellow-366,S-100014064,886,https://ae01.alicdn.com/kf/HTB1BVZMX8GE3KVjSZFhq6AkaFXaY/Vangull-Casual-Spring-Slim-Sweater-Winter-Knitted-Sweater-New-Lace-Up-Flare-Long-Sleeve-Ruffle-Knitting.jpg,vangull Official Store,https://www.aliexpress.com/store/715474,715474,0,96.7%
Vangull Casual Spring Slim Sweater Winter Knitted Sweater New Lace Up Flare Long Sleeve Ruffle Knitting Pullover Women Sweaters,9.92,19.45,4.7,294,829,20722,Yellow-366,L-361385,876,https://ae01.alicdn.com/kf/HTB1BVZMX8GE3KVjSZFhq6AkaFXaY/Vangull-Casual-Spring-Slim-Sweater-Winter-Knitted-Sweater-New-Lace-Up-Flare-Long-Sleeve-Ruffle-Knitting.jpg,vangull Official Store,https://www.aliexpress.com/store/715474,715474,0,96.7%
Vangull Casual Spring Slim Sweater Winter Knitted Sweater New Lace Up Flare Long Sleeve Ruffle Knitting Pullover Women Sweaters,9.92,19.45,4.7,294,829,20722,Yellow-366,M-361386,876,https://ae01.alicdn.com/kf/HTB1BVZMX8GE3KVjSZFhq6AkaFXaY/Vangull-Casual-Spring-Slim-Sweater-Winter-Knitted-Sweater-New-Lace-Up-Flare-Long-Sleeve-Ruffle-Knitting.jpg,vangull Official Store,https://www.aliexpress.com/store/715474,715474,0,96.7%
Vangull Casual Spring Slim Sweater Winter Knitted Sweater New Lace Up Flare Long Sleeve Ruffle Knitting Pullover Women Sweaters,9.92,19.45,4.7,294,829,20722,Yellow-366,XL-100014065,878,https://ae01.alicdn.com/kf/HTB1BVZMX8GE3KVjSZFhq6AkaFXaY/Vangull-Casual-Spring-Slim-Sweater-Winter-Knitted-Sweater-New-Lace-Up-Flare-Long-Sleeve-Ruffle-Knitting.jpg,vangull Official Store,https://www.aliexpress.com/store/715474,715474,0,96.7%
