product Name,product Price(US $),formatedPrice(US $),overview-rating,reviews,orders,Stock,Color,Size,Inventory,imgUrl,storeName,storeUrl,storeNumber,followers,rating
Macheda Sexy Cross Bandage Backless Bodycon Dress Women Sleeveless Halter Summer Dress Snake Print Short Party Casual Mini Dress,6.44,12.88,4.6,614,2287,5287,Green-175,M-361386,1690,https://ae01.alicdn.com/kf/HTB1OIs3XorrK1RkSne1q6ArVVXag/Macheda-Sexy-Cross-Bandage-Backless-Bodycon-Dress-Women-Sleeveless-Halter-Summer-Dress-Snake-Print-Short-Party.jpg,macheda Official Store,https://www.aliexpress.com/store/3218067,3218067,43319,97.0%
Macheda Sexy Cross Bandage Backless Bodycon Dress Women Sleeveless Halter Summer Dress Snake Print Short Party Casual Mini Dress,6.44,12.88,4.6,614,2287,5287,Green-175,L-361385,2080,https://ae01.alicdn.com/kf/HTB1OIs3XorrK1RkSne1q6ArVVXag/Macheda-Sexy-Cross-Bandage-Backless-Bodycon-Dress-Women-Sleeveless-Halter-Summer-Dress-Snake-Print-Short-Party.jpg,macheda Official Store,https://www.aliexpress.com/store/3218067,3218067,43319,97.0%
Macheda Sexy Cross Bandage Backless Bodycon Dress Women Sleeveless Halter Summer Dress Snake Print Short Party Casual Mini Dress,6.44,12.88,4.6,614,2287,5287,Green-175,S-100014064,1517,https://ae01.alicdn.com/kf/HTB1OIs3XorrK1RkSne1q6ArVVXag/Macheda-Sexy-Cross-Bandage-Backless-Bodycon-Dress-Women-Sleeveless-Halter-Summer-Dress-Snake-Print-Short-Party.jpg,macheda Official Store,https://www.aliexpress.com/store/3218067,3218067,43319,97.0%
